,,200,2000,600
19/09:00:11,255.3,255.2712761,255.2896509,255.2749458
19/09:00:11,255.3,255.2715619,255.2896613,255.2750292
19/09:00:11,255.35,255.2723424,255.2897216,255.2752787
19/09:00:11,255.3,255.2726176,255.2897319,255.2753609
19/09:00:11,255.3,255.27289,255.2897421,255.2754429
19/09:00:11,255.35,255.2736573,255.2898023,255.275691
19/09:00:11,255.3,255.2739194,255.2898125,255.2757719
19/09:00:12,255.2,255.2731839,255.2897228,255.2755198
19/09:00:12,255.25,255.2729532,255.2896831,255.2754348
19/09:00:12,255.3,255.2732223,255.2896934,255.2755166
19/09:00:12,255.25,255.2729912,255.2896537,255.2754317
19/09:00:12,255.25,255.2727625,255.2896141,255.2753471
19/09:00:12,255.25,255.272536,255.2895745,255.2752627
19/09:00:12,255.25,255.2723117,255.2895349,255.2751786
19/09:00:12,255.25,255.2720897,255.2894954,255.2750948
19/09:00:12,255.3,255.2723675,255.2895059,255.2751777
19/09:00:12,255.3,255.2726424,255.2895164,255.2752603
19/09:00:12,255.3,255.2729146,255.2895269,255.2753427
19/09:00:12,255.3,255.2731841,255.2895373,255.2754247
19/09:00:12,255.25,255.2729534,255.2894978,255.2753401
19/09:00:12,255.3,255.2732226,255.2895083,255.2754222
19/09:00:12,255.3,255.273489,255.2895188,255.275504
19/09:00:12,255.3,255.2737528,255.2895293,255.2755855
19/09:00:12,255.3,255.274014,255.2895398,255.2756667
19/09:00:12,255.25,255.273775,255.2895002,255.2755813
19/09:00:13,255.15,255.2725434,255.2893608,255.2751634
19/09:00:13,255.2,255.2718216,255.2892715,255.2749133
19/09:00:13,255.2,255.271107,255.2891823,255.274664
19/09:00:13,255.2,255.2703994,255.2890931,255.2744155
19/09:00:13,255.25,255.2701964,255.289054,255.2743343
19/09:00:14,255.15,255.2690005,255.2889151,255.2739205
19/09:00:14,255.2,255.2683139,255.2888262,255.2736745
19/09:00:14,255.15,255.2671366,255.2886874,255.2732629
19/09:00:14,255.15,255.2659711,255.2885488,255.2728528
19/09:00:14,255.15,255.2648172,255.2884103,255.2724439
19/09:00:14,255.15,255.2636747,255.288272,255.2720365
19/09:00:14,255.15,255.2625436,255.2881338,255.2716303
