시간,시가,고가,저가,종가,200,400,600,800,1000,1200
27/09:00:13,273.8,273.8,273.8,273.8,273.95,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.95,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.95,0,0,0,0,0
27/09:00:13,273.75,273.75,273.75,273.75,273.95,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.95,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.95,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.95,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.96,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.96,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.96,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.96,0,0,0,0,0
27/09:00:13,273.75,273.75,273.75,273.75,273.96,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.96,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.96,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.96,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.96,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.96,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.96,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.97,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.97,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.97,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.97,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.91,0,0,0,0,0
27/09:00:14,273.8,273.8,273.8,273.8,273.91,0,0,0,0,0
27/09:00:14,273.7,273.7,273.7,273.7,273.92,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.92,0,0,0,0,0
27/09:00:14,273.8,273.8,273.8,273.8,273.92,0,0,0,0,0
27/09:00:14,273.8,273.8,273.8,273.8,273.92,0,0,0,0,0
27/09:00:14,273.8,273.8,273.8,273.8,273.92,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.92,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.92,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.92,0,0,0,0,0
27/09:00:14,273.8,273.8,273.8,273.8,273.92,0,0,0,0,0
27/09:00:14,273.8,273.8,273.8,273.8,273.93,0,0,0,0,0
27/09:00:14,273.8,273.8,273.8,273.8,273.93,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.93,0,0,0,0,0
27/09:00:14,273.8,273.8,273.8,273.8,273.93,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.93,0,0,0,0,0
27/09:00:14,273.7,273.7,273.7,273.7,273.93,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.93,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.93,0,0,0,0,0
27/09:00:14,273.8,273.8,273.8,273.8,273.93,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.93,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.93,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.94,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.94,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.94,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.94,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.94,0,0,0,0,0
27/09:00:14,273.75,273.75,273.75,273.75,273.94,0,0,0,0,0
27/09:00:15,273.75,273.75,273.75,273.75,273.89,0,0,0,0,0
27/09:00:15,273.75,273.75,273.75,273.75,273.89,0,0,0,0,0
27/09:00:15,273.8,273.8,273.8,273.8,273.89,0,0,0,0,0
27/09:00:15,273.8,273.8,273.8,273.8,273.89,0,0,0,0,0
27/09:00:15,273.8,273.8,273.8,273.8,273.89,0,0,0,0,0
27/09:00:15,273.8,273.8,273.8,273.8,273.89,0,0,0,0,0
27/09:00:15,273.8,273.8,273.8,273.8,273.89,0,0,0,0,0
27/09:00:15,273.8,273.8,273.8,273.8,273.9,0,0,0,0,0
27/09:00:15,273.75,273.75,273.75,273.75,273.9,0,0,0,0,0
27/09:00:15,273.8,273.8,273.8,273.8,273.9,0,0,0,0,0
27/09:00:15,273.8,273.8,273.8,273.8,273.9,0,0,0,0,0
27/09:00:15,273.75,273.75,273.75,273.75,273.9,0,0,0,0,0
27/09:00:15,273.75,273.75,273.75,273.75,273.9,0,0,0,0,0
27/09:00:15,273.75,273.75,273.75,273.75,273.9,0,0,0,0,0
27/09:00:15,273.75,273.75,273.75,273.75,273.91,0,0,0,0,0
27/09:00:15,273.75,273.75,273.75,273.75,273.91,0,0,0,0,0
27/09:00:15,273.75,273.75,273.75,273.75,273.91,0,0,0,0,0
27/09:00:15,273.75,273.75,273.75,273.75,273.91,0,0,0,0,0
27/09:00:15,273.75,273.75,273.75,273.75,273.91,0,0,0,0,0
27/09:00:16,273.75,273.75,273.75,273.75,273.87,0,0,0,0,0
27/09:00:16,273.75,273.75,273.75,273.75,273.87,0,0,0,0,0
27/09:00:16,273.75,273.75,273.75,273.75,273.87,0,0,0,0,0
27/09:00:16,273.8,273.8,273.8,273.8,273.87,0,0,0,0,0
27/09:00:16,273.8,273.8,273.8,273.8,273.87,0,0,0,0,0
27/09:00:16,273.75,273.75,273.75,273.75,273.88,0,0,0,0,0
27/09:00:16,273.75,273.75,273.75,273.75,273.88,0,0,0,0,0
27/09:00:16,273.75,273.75,273.75,273.75,273.88,0,0,0,0,0
27/09:00:16,273.8,273.8,273.8,273.8,273.88,0,0,0,0,0
27/09:00:16,273.8,273.8,273.8,273.8,273.88,0,0,0,0,0
27/09:00:16,273.75,273.75,273.75,273.75,273.88,0,0,0,0,0
27/09:00:16,273.75,273.75,273.75,273.75,273.88,0,0,0,0,0
27/09:00:16,273.75,273.75,273.75,273.75,273.89,0,0,0,0,0
27/09:00:17,273.8,273.8,273.8,273.8,273.85,0,0,0,0,0
27/09:00:17,273.8,273.8,273.8,273.8,273.85,0,0,0,0,0
27/09:00:17,273.8,273.8,273.8,273.8,273.85,0,0,0,0,0
27/09:00:17,273.8,273.8,273.8,273.8,273.85,0,0,0,0,0
27/09:00:17,273.75,273.75,273.75,273.75,273.85,0,0,0,0,0
27/09:00:17,273.8,273.8,273.8,273.8,273.85,0,0,0,0,0
27/09:00:17,273.75,273.75,273.75,273.75,273.85,0,0,0,0,0
27/09:00:17,273.75,273.75,273.75,273.75,273.86,0,0,0,0,0
27/09:00:17,273.75,273.75,273.75,273.75,273.86,0,0,0,0,0
